CODIGO MUNICIPIO,Cluster
48001,2
48002,1
48911,2
48093,2
48912,2
48003,1
48008,3
48004,3
48005,2
48010,0
48006,2
48009,2
48914,2
48904,2
48011,2
48023,2
48070,0
48091,2
48012,2
48090,2
48017,2
48013,1
48014,2
48015,1
48092,2
48016,2
48018,2
48019,2
48029,2
48021,2
48901,2
48026,2
48027,1
48028,3
48031,0
48032,2
48902,1
48036,1
48033,0
48034,2
48037,2
48079,3
48030,0
48906,3
48035,3
48046,2
48038,2
48039,0
48910,2
48040,2
48041,2
48044,1
48047,2
48045,2
48042,1
48043,2
48048,2
48094,2
48049,0
48054,1
48050,2
48061,0
48907,2
48081,2
48052,2
48053,2
48069,2
48057,2
48055,2
48056,2
48903,1
48058,2
48059,2
48075,2
48060,2
48062,2
48063,0
48064,0
48082,2
48066,3
48068,2
48007,0
48908,2
48077,2
48067,2
48086,1
48909,2
48073,2
48084,2
48083,1
48072,2
48078,2
48085,2
48076,3
48087,3
48089,2
48065,2
48096,1
48080,2
48095,2
48905,2
48097,2
48024,2
48025,2
48913,2
48915,3
