municip_code,year,population
48001,2019,7599
48001,2018,7533
48001,2017,7522
48002,2019,9444
48002,2018,9545
48002,2017,9543
48911,2019,477
48911,2018,482
48911,2017,474
48912,2019,2907
48912,2018,2903
48912,2017,2900
48003,2019,19339
48003,2018,19140
48003,2017,18955
48004,2019,410
48004,2018,419
48004,2017,425
48005,2019,159
48005,2018,156
48005,2017,159
48006,2019,395
48006,2018,393
48006,2017,411
48093,2019,1201
48093,2018,1212
48093,2017,1196
48009,2019,968
48009,2018,970
48009,2017,960
48914,2019,418
48914,2018,418
48914,2017,402
48010,2019,586
48010,2018,567
48010,2017,564
48011,2019,12160
48011,2018,12230
48011,2017,12265
48023,2019,736
48023,2018,735
48023,2017,749
48008,2019,721
48008,2018,734
48008,2017,741
48091,2019,1366
48091,2018,1377
48091,2017,1370
48070,2019,654
48070,2018,648
48070,2017,658
48012,2019,2688
48012,2018,2645
48012,2017,2640
48090,2019,7697
48090,2018,7684
48090,2017,7739
48013,2019,100881
48013,2018,100435
48013,2017,100313
48014,2019,1529
48014,2018,1541
48014,2017,1525
48015,2019,40589
48015,2018,40762
48015,2017,40877
48092,2019,1067
48092,2018,1041
48092,2017,1039
48016,2019,7195
48016,2018,7130
48016,2017,7065
48017,2019,16765
48017,2018,16688
48017,2017,16777
48018,2019,1245
48018,2018,1247
48018,2017,1241
48019,2019,4623
48019,2018,4678
48019,2017,4695
48020,2019,346843
48020,2018,345821
48020,2017,345110
48021,2019,1616
48021,2018,1637
48021,2017,1676
48901,2019,6631
48901,2018,6545
48901,2017,6404
48026,2019,1436
48026,2018,1447
48026,2017,1460
48027,2019,29791
48027,2018,29636
48027,2017,29328
48028,2019,823
48028,2018,831
48028,2017,836
48031,2019,350
48031,2018,346
48031,2017,363
48032,2019,7372
48032,2018,7336
48032,2017,7307
48902,2019,24350
48902,2018,24222
48902,2017,24056
48033,2019,245
48033,2018,239
48033,2017,248
48034,2019,15880
48034,2018,15890
48034,2017,15951
48079,2019,479
48079,2018,487
48079,2017,502
48029,2019,11563
48029,2018,11304
48029,2017,11176
48030,2019,788
48030,2018,772
48030,2017,748
48906,2019,920
48906,2018,929
48906,2017,938
48035,2019,536
48035,2018,545
48035,2017,546
48036,2019,29326
48036,2018,29288
48036,2017,29334
48037,2019,831
48037,2018,829
48037,2017,812
48038,2019,1379
48038,2018,1375
48038,2017,1361
48039,2019,327
48039,2018,320
48039,2017,308
48040,2019,1663
48040,2018,1673
48040,2017,1672
48041,2019,836
48041,2018,840
48041,2017,847
48046,2019,17016
48046,2018,16972
48046,2017,16915
48044,2019,77946
48044,2018,78276
48044,2017,78406
48047,2019,208
48047,2018,212
48047,2017,209
48042,2019,1710
48042,2018,1686
48042,2017,1674
48043,2019,5785
48043,2018,5683
48043,2017,5680
48045,2019,6734
48045,2018,6681
48045,2017,6686
48048,2019,632
48048,2018,636
48048,2017,651
48094,2019,4284
48094,2018,4257
48094,2017,4251
48049,2019,735
48049,2018,725
48049,2017,706
48910,2019,3662
48910,2018,3643
48910,2017,3658
