year,municip_name,species,municip_code,month,year_offset
2020,AbadiÃ±o,Vespa Velutina,48001,1,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,1,2019
2020,Ajangiz,Vespa Velutina,48911,1,2019
2020,Alonsotegi,Vespa Velutina,48912,1,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,1,2019
2020,Amoroto,Vespa Velutina,48004,1,2019
2020,Arakaldo,Vespa Velutina,48005,1,2019
2020,Arantzazu,Vespa Velutina,48006,1,2019
2020,Areatza,Vespa Velutina,48093,1,2019
2020,Arrankudiaga,Vespa Velutina,48009,1,2019
2020,Arratzu,Vespa Velutina,48914,1,2019
2020,Arrieta,Vespa Velutina,48010,1,2019
2020,Arrigorriaga,Vespa Velutina,48011,1,2019
2020,Artea,Vespa Velutina,48023,1,2019
2020,Artzentales,Vespa Velutina,48008,1,2019
2020,Atxondo,Vespa Velutina,48091,1,2019
2020,Aulesti,Vespa Velutina,48070,1,2019
2020,Bakio,Vespa Velutina,48012,1,2019
2020,Balmaseda,Vespa Velutina,48090,1,2019
2020,Barakaldo,Vespa Velutina,48013,1,2019
2020,Barrika,Vespa Velutina,48014,1,2019
2020,Basauri,Vespa Velutina,48015,1,2019
2020,Bedia,Vespa Velutina,48092,1,2019
2020,Berango,Vespa Velutina,48016,1,2019
2020,Bermeo,Vespa Velutina,48017,1,2019
2020,Berriatua,Vespa Velutina,48018,1,2019
2020,Berriz,Vespa Velutina,48019,1,2019
2020,Busturia,Vespa Velutina,48021,1,2019
2020,Derio,Vespa Velutina,48901,1,2019
2020,Dima,Vespa Velutina,48026,1,2019
2020,Durango,Vespa Velutina,48027,1,2019
2020,Ea,Vespa Velutina,48028,1,2019
2020,Elantxobe,Vespa Velutina,48031,1,2019
2020,Elorrio,Vespa Velutina,48032,1,2019
2020,Erandio,Vespa Velutina,48902,1,2019
2020,EreÃ±o,Vespa Velutina,48033,1,2019
2020,Ermua,Vespa Velutina,48034,1,2019
2020,Errigoiti,Vespa Velutina,48079,1,2019
2020,Etxebarri,Vespa Velutina,48029,1,2019
2020,Etxebarria,Vespa Velutina,48030,1,2019
2020,Forua,Vespa Velutina,48906,1,2019
2020,Fruiz,Vespa Velutina,48035,1,2019
2020,Galdakao,Vespa Velutina,48036,1,2019
2020,Galdames,Vespa Velutina,48037,1,2019
2020,Gamiz-Fika,Vespa Velutina,48038,1,2019
2020,Garai,Vespa Velutina,48039,1,2019
2020,Gatika,Vespa Velutina,48040,1,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,1,2019
2020,Gernika-Lumo,Vespa Velutina,48046,1,2019
2020,Getxo,Vespa Velutina,48044,1,2019
2020,Gizaburuaga,Vespa Velutina,48047,1,2019
2020,Gordexola,Vespa Velutina,48042,1,2019
2020,Gorliz,Vespa Velutina,48043,1,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,1,2019
