year_x,municip_name,species,municip_code,month,year_offset,waspbust_id,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,index,MMM,year_y,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
2018,Abadiño,Vespa Velutina,48001.0,1,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,164.0,ENE,2017.0,Urkiola,C022_Urkiola_2017_ENE,C022_Urkiola_2017_ENE,21.0,84.4,0.895747176,0.337418731,0.183670235,11.0,8.0,254.6,2.0,76.0,5.7,2.1,12.7,5.7,-0.8,14.6,81.0,43.8
2018,Abadiño,Vespa Velutina,48001.0,2,2017,4,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,573.0,FEB,2017.0,Urkiola,C022_Urkiola_2017_FEB,C022_Urkiola_2017_FEB,3.0,83.0,0.944826811,0.304045481,0.179970181,12.0,10.0,113.2,1.8,22.6,7.9,5.9,16.2,10.3,2.1,14.1,98.6,49.6
2018,Abadiño,Vespa Velutina,48001.0,3,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,982.0,MAR,2017.0,Urkiola,C022_Urkiola_2017_MAR,C022_Urkiola_2017_MAR,6.0,80.5,0.7648437990000001,0.327889762,0.195408418,14.0,11.0,97.5,1.4,23.0,12.2,7.4,23.1,12.3,3.4,11.6,77.8,41.6
2018,Abadiño,Vespa Velutina,48001.0,5,2017,3,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,1800.0,MAY,2017.0,Urkiola,C022_Urkiola_2017_MAY,C022_Urkiola_2017_MAY,1.0,76.0,0.926405047,0.34751687,0.180803839,16.0,9.0,87.3,4.3,38.0,20.0,13.2,30.3,18.8,7.7,8.4,95.8,35.6
2018,Abadiño,Vespa Velutina,48001.0,6,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,2209.0,JUN,2017.0,Urkiola,C022_Urkiola_2017_JUN,C022_Urkiola_2017_JUN,0.0,87.8,0.921794308,0.385731703,0.192731557,22.0,16.0,120.4,6.4,19.8,15.7,15.1,31.4,20.0,11.2,6.5,51.8,28.7
2018,Abadiño,Vespa Velutina,48001.0,7,2017,7,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,2618.0,JUL,2017.0,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0.0,86.3,0.9499286579999999,0.36303303,0.18940599600000002,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0
2018,Abadiño,Vespa Velutina,48001.0,8,2017,16,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
2018,Abadiño,Vespa Velutina,48001.0,9,2017,12,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
2018,Abadiño,Vespa Velutina,48001.0,10,2017,5,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
2018,Abadiño,Vespa Velutina,48001.0,11,2017,3,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,4254.0,NOV,2017.0,Urkiola,C022_Urkiola_2017_NOV,C022_Urkiola_2017_NOV,6.0,84.6,0.981296525,0.30555969899999996,0.192551152,16.0,16.0,206.4,2.6,50.3,5.6,6.4,16.4,10.0,3.2,10.2,68.4,40.8
