station_code,municip_code
C0B7,48001
C061,48002
C079,48003
C0BA,48004
C032,48005
C033,48006
C046,48007
C045,48008
C032,48009
C057,48010
C037,48011
C019,48012
C039,48013
C042,48014
C037,48015
C042,48016
C069,48017
C0BE,48018
C036,48019
C0B1,48020
C069,48021
C065,48022
C033,48023
C044,48024
C066,48025
C022,48026
C0B7,48027
C002,48028
C0B1,48029
C0BD,48030
C002,48031
C0D3,48032
C002,48033
C075,48034
C057,48035
C037,48036
C061,48037
C003,48038
C036,48039
C057,48040
C002,48041
C0C3,48042
C057,48043
C042,48044
C0C3,48045
C063,48046
C0BA,48047
C002,48048
C0BA,48049
C0B7,48050
C065,48051
C003,48052
C057,48053
C038,48054
C0B3,48055
C057,48056
C0BA,48057
C075,48058
C0B7,48059
C0BD,48060
C057,48061
C063,48062
C0BA,48063
C057,48064
C037,48065
C063,48066
C063,48067
C069,48068
C057,48069
C0BD,48070
C061,48071
C054,48072
C0BE,48073
C072,48074
C0B4,48075
C069,48076
C057,48077
C038,48078
C063,48079
C061,48080
C003,48081
C061,48082
C061,48083
C038,48084
C042,48085
C045,48086
C045,48087
C054,48088
C042,48089
C0C2,48090
C022,48091
C0B3,48092
C033,48093
C033,48094
C075,48095
C0C1,48096
C037,48097
C003,48901
C038,48902
C0B9,48903
C0B9,48904
C003,48905
C002,48906
C002,48907
C002,48908
C002,48909
C0B6,48910
C063,48911
C0C4,48912
C042,48913
C002,48914
C0BD,48915
