index,MMM,month,year,station_name,code_merge,station_code,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
98,ENE,1,2017,Albaina,C0A4_Albaina_2017_ENE,C0A4,C0A4_Albaina_2017_ENE,0.948696508,78.00210554,0.898907949,0.36940969,0.193758359,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
125,ENE,1,2017,Tobillas,C00B_Tobillas_2017_ENE,C00B,C00B_Tobillas_2017_ENE,0.948696508,78.00210554,0.898907949,0.36940969,0.193758359,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
144,ENE,1,2017,Galdakao,C009_Galdakao_2017_ENE,C009,C009_Galdakao_2017_ENE,0.948696508,78.00210554,0.898907949,0.36940969,0.193758359,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
184,ENE,1,2017,Eskas,C0F1_Eskas_2017_ENE,C0F1,C0F1_Eskas_2017_ENE,0.948696508,78.00210554,0.898907949,0.36940969,0.193758359,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
507,FEB,2,2017,Albaina,C0A4_Albaina_2017_FEB,C0A4,C0A4_Albaina_2017_FEB,0.538754998,74.99058834,0.88476136,0.34690804,0.192984307,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
534,FEB,2,2017,Tobillas,C00B_Tobillas_2017_FEB,C00B,C00B_Tobillas_2017_FEB,0.538754998,74.99058834,0.88476136,0.34690804,0.192984307,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
553,FEB,2,2017,Galdakao,C009_Galdakao_2017_FEB,C009,C009_Galdakao_2017_FEB,0.538754998,74.99058834,0.88476136,0.34690804,0.192984307,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
593,FEB,2,2017,Eskas,C0F1_Eskas_2017_FEB,C0F1,C0F1_Eskas_2017_FEB,0.538754998,74.99058834,0.88476136,0.34690804,0.192984307,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
943,MAR,3,2017,Tobillas,C00B_Tobillas_2017_MAR,C00B,C00B_Tobillas_2017_MAR,0.429664207,72.94047264,0.906899943,0.349660256,0.194044135,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
962,MAR,3,2017,Galdakao,C009_Galdakao_2017_MAR,C009,C009_Galdakao_2017_MAR,0.429664207,72.94047264,0.906899943,0.349660256,0.194044135,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
