, estacion,code_merge,codigo,freez,freez_imputed_proba,hum,hum_imputed_proba,lev_max,lev_max_imputed_proba,lev_mid,lev_mid_imputed_proba,lev_min,lev_min_imputed_proba,merge_cod,month,rain,rain_1mm,rain_1mm_imputed_proba,rain_cum,rain_cum_imputed_proba,rain_imputed_proba,rain_max_10,rain_max_10_imputed_proba,rain_max_day,rain_max_day_imputed_proba,sun,sun_imputed_proba,temp_avg,temp_avg_imputed_proba,temp_max_abs,temp_max_abs_imputed_proba,temp_max_avg,temp_max_avg_imputed_proba,temp_min_abs,temp_min_abs_imputed_proba,wind_avg,wind_avg_imputed_proba,wind_max,wind_max_avg,wind_max_avg_imputed_proba,wind_max_imputed_proba,year
202,Albaina,C0A4_Albaina_2017_ENE,C0A4,0,0.3818349540233612,79.8,0.01608525775372982,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.10566431283950806,C0A4_Albaina_2017_ENE,ENE,10,4,0.1495719850063324,70,0.009900989942252636,0.13917864859104156,0.5,0.02164260856807232,15.6,0.02518633008003235,19.4,0.20410773158073425,15.2,0.03198724985122681,27.9,0.01660003513097763,18.6,0.03381673991680145,9.9,0.03196142986416817,15.5,0.02310797944664955,83.9,40.8,0.2275497317314148,0.02941632643342018,2017
229,Tobillas,C00B_Tobillas_2017_ENE,C00B,0,0.3818349540233612,79.8,0.01608525775372982,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.10566431283950806,C00B_Tobillas_2017_ENE,ENE,10,4,0.1495719850063324,70,0.009900989942252636,0.13917864859104156,0.5,0.02164260856807232,15.6,0.02518633008003235,19.4,0.20410773158073425,15.2,0.03198724985122681,27.9,0.01660003513097763,18.6,0.03381673991680145,9.9,0.03196142986416817,15.5,0.02310797944664955,83.9,40.8,0.2275497317314148,0.02941632643342018,2017
248,Galdakao,C009_Galdakao_2017_ENE,C009,0,0.3818349540233612,79.8,0.01608525775372982,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.10566431283950806,C009_Galdakao_2017_ENE,ENE,10,4,0.1495719850063324,70,0.009900989942252636,0.13917864859104156,0.5,0.02164260856807232,15.6,0.02518633008003235,19.4,0.20410773158073425,15.2,0.03198724985122681,27.9,0.01660003513097763,18.6,0.03381673991680145,9.9,0.03196142986416817,15.5,0.02310797944664955,83.9,40.8,0.2275497317314148,0.02941632643342018,2017
288,Eskas,C0F1_Eskas_2017_ENE,C0F1,0,0.3818349540233612,79.8,0.01608525775372982,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.10566431283950806,C0F1_Eskas_2017_ENE,ENE,10,4,0.1495719850063324,70,0.009900989942252636,0.13917864859104156,0.5,0.02164260856807232,15.6,0.02518633008003235,19.4,0.20410773158073425,15.2,0.03198724985122681,27.9,0.01660003513097763,18.6,0.03381673991680145,9.9,0.03196142986416817,15.5,0.02310797944664955,83.9,40.8,0.2275497317314148,0.02941632643342018,2017
611,Albaina,C0A4_Albaina_2017_FEB,C0A4,0,0.3818039298057556,79.0,0.01658439449965954,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.12823331356048584,C0A4_Albaina_2017_FEB,FEB,13,11,0.18166190385818481,70,0.009900989942252636,0.13701845705509186,2,0.023092122748494148,19,0.03525695949792862,10.4,0.37152841687202454,15.2,0.020105786621570587,25.3,0.01553092896938324,17.2,0.031189462170004845,11.6,0.0360613614320755,5.4,0.03495408222079277,83.9,27.1,0.3534012734889984,0.035309284925460815,2017
638,Tobillas,C00B_Tobillas_2017_FEB,C00B,0,0.3818039298057556,79.0,0.01658439449965954,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.12823331356048584,C00B_Tobillas_2017_FEB,FEB,13,11,0.18166190385818481,70,0.009900989942252636,0.13701845705509186,2,0.023092122748494148,19,0.03525695949792862,10.4,0.37152841687202454,15.2,0.020105786621570587,25.3,0.01553092896938324,17.2,0.031189462170004845,11.6,0.0360613614320755,5.4,0.03495408222079277,83.9,27.1,0.3534012734889984,0.035309284925460815,2017
657,Galdakao,C009_Galdakao_2017_FEB,C009,0,0.3818039298057556,79.0,0.01658439449965954,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.12823331356048584,C009_Galdakao_2017_FEB,FEB,13,11,0.18166190385818481,70,0.009900989942252636,0.13701845705509186,2,0.023092122748494148,19,0.03525695949792862,10.4,0.37152841687202454,15.2,0.020105786621570587,25.3,0.01553092896938324,17.2,0.031189462170004845,11.6,0.0360613614320755,5.4,0.03495408222079277,83.9,27.1,0.3534012734889984,0.035309284925460815,2017
697,Eskas,C0F1_Eskas_2017_FEB,C0F1,0,0.3818039298057556,79.0,0.01658439449965954,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.12823331356048584,C0F1_Eskas_2017_FEB,FEB,13,11,0.18166190385818481,70,0.009900989942252636,0.13701845705509186,2,0.023092122748494148,19,0.03525695949792862,10.4,0.37152841687202454,15.2,0.020105786621570587,25.3,0.01553092896938324,17.2,0.031189462170004845,11.6,0.0360613614320755,5.4,0.03495408222079277,83.9,27.1,0.3534012734889984,0.035309284925460815,2017
1047,Tobillas,C00B_Tobillas_2017_MAR,C00B,0,0.37213999032974243,81.6,0.01582414098083973,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.11897829920053482,C00B_Tobillas_2017_MAR,MAR,11,11,0.13935568928718567,70,0.009900989942252636,0.07501983642578125,2,0.020984750241041183,18.8,0.020929574966430664,17.5,0.5031236410140991,15.8,0.025946838781237602,29.6,0.020059039816260338,20.5,0.03129678964614868,10.9,0.04266883432865143,6.0,0.038066670298576355,61.9,35.0,0.1853155493736267,0.02576962672173977,2017
1066,Galdakao,C009_Galdakao_2017_MAR,C009,0,0.37213999032974243,81.6,0.01582414098083973,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.11897829920053482,C009_Galdakao_2017_MAR,MAR,11,11,0.13935568928718567,70,0.009900989942252636,0.07501983642578125,2,0.020984750241041183,18.8,0.020929574966430664,17.5,0.5031236410140991,15.8,0.025946838781237602,29.6,0.020059039816260338,20.5,0.03129678964614868,10.9,0.04266883432865143,6.0,0.038066670298576355,61.9,35.0,0.1853155493736267,0.02576962672173977,2017
1106,Eskas,C0F1_Eskas_2017_MAR,C0F1,0,0.37213999032974243,81.6,0.01582414098083973,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.11897829920053482,C0F1_Eskas_2017_MAR,MAR,11,11,0.13935568928718567,70,0.009900989942252636,0.07501983642578125,2,0.020984750241041183,18.8,0.020929574966430664,17.5,0.5031236410140991,15.8,0.025946838781237602,29.6,0.020059039816260338,20.5,0.03129678964614868,10.9,0.04266883432865143,6.0,0.038066670298576355,61.9,35.0,0.1853155493736267,0.02576962672173977,2017
1475,Galdakao,C009_Galdakao_2017_ABR,C009,0,0.4814889430999756,77.1,0.016213368624448776,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.09155330806970596,C009_Galdakao_2017_ABR,ABR,8,4,0.19814305007457733,70,0.009900989942252636,0.134934663772583,0.4,0.023117585107684135,19,0.03338892012834549,9.5,0.25279173254966736,10.5,0.02186983823776245,27.6,0.016304001212120056,17.0,0.02766972780227661,6.3,0.05078607797622681,8.5,0.022333607077598572,79.2,32.8,0.20046381652355194,0.027865320444107056,2017
1515,Eskas,C0F1_Eskas_2017_ABR,C0F1,0,0.4814889430999756,77.1,0.016213368624448776,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.09155330806970596,C0F1_Eskas_2017_ABR,ABR,8,4,0.19814305007457733,70,0.009900989942252636,0.134934663772583,0.4,0.023117585107684135,19,0.03338892012834549,9.5,0.25279173254966736,10.5,0.02186983823776245,27.6,0.016304001212120056,17.0,0.02766972780227661,6.3,0.05078607797622681,8.5,0.022333607077598572,79.2,32.8,0.20046381652355194,0.027865320444107056,2017
1884,Galdakao,C009_Galdakao_2017_MAY,C009,0,0.4876903295516968,81.6,0.015518357045948505,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.11638499796390533,C009_Galdakao_2017_MAY,MAY,16,11,0.2275516241788864,70,0.009900989942252636,0.14229805767536163,4,0.022602640092372894,16.4,0.026706896722316742,6.0,0.49694138765335083,9.8,0.02316630445420742,21.3,0.0222748015075922,14.0,0.02719210647046566,5.6,0.049579545855522156,7.4,0.027011629194021225,61.2,35.0,0.4572952091693878,0.04453779011964798,2017
1924,Eskas,C0F1_Eskas_2017_MAY,C0F1,0,0.4876903295516968,81.6,0.015518357045948505,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.11638499796390533,C0F1_Eskas_2017_MAY,MAY,16,11,0.2275516241788864,70,0.009900989942252636,0.14229805767536163,4,0.022602640092372894,16.4,0.026706896722316742,6.0,0.49694138765335083,9.8,0.02316630445420742,21.3,0.0222748015075922,14.0,0.02719210647046566,5.6,0.049579545855522156,7.4,0.027011629194021225,61.2,35.0,0.4572952091693878,0.04453779011964798,2017
2293,Galdakao,C009_Galdakao_2017_JUN,C009,0,0.9899201393127441,79.8,0.015492727048695087,0.599,0.009900989942252636,0.234,0.009900989942252636,0.000,0.12417986243963242,C009_Galdakao_2017_JUN,JUN,11,4,0.13377125561237335,70,0.009900989942252636,0.10553865879774094,0.5,0.022098667919635773,14.8,0.028245344758033752,18.6,0.8921451568603516,17.1,0.021015504375100136,34.8,0.019261695444583893,23.4,0.03329434245824814,12.1,0.05325648561120033,6.0,0.02888467162847519,61.9,35.0,0.22467507421970367,0.03140660747885704,2017
