estacion,codigo,tipo,xutm,yutm,cota (m),UTM_points,geometry
Abetxuko,C076,A,527154,4747039,510,POINT (527154 4747039),POINT (527154 4747039)
Alegria,C056,A,538992,4743676,545,POINT (538992 4743676),POINT (538992 4743676)
Altube,C035,M,510880,4757063,618,POINT (510880 4757063),POINT (510880 4757063)
Antoñana,C0A3,A,549965,4725290,573,POINT (549965 4725290),POINT (549965 4725290)
Arkaute,C001,M,530608,4744631,517,POINT (530608 4744631),POINT (530608 4744631)
Beluntza,C025,M,508785,4756755,687,POINT (508785 4756755),POINT (508785 4756755)
Egino,C0A2,A,561001,4746461,556,POINT (561001 4746461),POINT (561001 4746461)
Espejo,C034,M,496749,4739452,504,POINT (496749 4739452),POINT (496749 4739452)
Etura,C0AA,A,540535,4748260,549,POINT (540535 4748260),POINT (540535 4748260)
Gardea,C067,C,501697,4774942,141,POINT (501697 4774942),POINT (501697 4774942)
Gasteiz,C040,M,525491,4745317,546,POINT (525491 4745317),POINT (525491 4745317)
Gorbea,C044,M,521688,4760787,662,POINT (521688 4760787),POINT (521688 4760787)
Herrera,C048,M,526714,4716209,1188,POINT (526714 4716209),POINT (526714 4716209)
Ilarduia,C068,M,558297,4747064,596,POINT (558297 4747064),POINT (558297 4747064)
Iturrieta,C024,M,553614,4738189,987,POINT (553614 4738189),POINT (553614 4738189)
Kanpezu,C00A,M,553957,4724980,550,POINT (553957 4724980),POINT (553957 4724980)
Kapildui,C047,M,537916,4735162,1173,POINT (537916 4735162),POINT (537916 4735162)
Moreda,C031,M,548437,4708613,490,POINT (548437 4708613),POINT (548437 4708613)
Navarrete,C041,M,539174,4720716,689,POINT (539174 4720716),POINT (539174 4720716)
Ozaeta,C055,A,541428,4751265,548,POINT (541428 4751265),POINT (541428 4751265)
Páganos,C060,M,532903,4712079,577,POINT (532903 4712079),POINT (532903 4712079)
Pagoeta,C0A1,A,522591,4721744,705,POINT (522591 4721744),POINT (522591 4721744)
Roitegi,C021,M,551557,4736976,980,POINT (551557 4736976),POINT (551557 4736976)
Salvatierra,C030,M,549518,4745236,589,POINT (549518 4745236),POINT (549518 4745236)
Saratxo,C051,A,499947,4764668,230,POINT (499947 4764668),POINT (499947 4764668)
Sarria,C0A0,A,513846,4758372,655,POINT (513846 4758372),POINT (513846 4758372)
Subijana,C049,M,508819,4740785,537,POINT (508819 4740785),POINT (508819 4740785)
Trebiño,C020,M,524451,4729542,578,POINT (524451 4729542),POINT (524451 4729542)
Zaldiaran,C070,M,521672,4738231,980,POINT (521672 4738231),POINT (521672 4738231)
Zambrana,C050,M,509366,4724739,470,POINT (509366 4724739),POINT (509366 4724739)
Abusu (La Peña),C0B1,C,507116,4788295,23,POINT (507116 4788295),POINT (507116 4788295)
Amorebieta,C079,C,521787,4785101,65,POINT (521787 4785101),POINT (521787 4785101)
Aranguren,C0C1,A,489716,4784562,92,POINT (489716 4784562),POINT (489716 4784562)
Arboleda,C061,M,494632,4793763,329,POINT (494632 4793763),POINT (494632 4793763)
Areta,C032,A,505261,4776081,122,POINT (505261 4776081),POINT (505261 4776081)
Arteaga,C002,M,527783,4799414,19,POINT (527783 4799414),POINT (527783 4799414)
Balmaseda,C0C2,C,482283,4780452,178,POINT (482283 4780452),POINT (482283 4780452)
Bermeo,C069,M,521784,4806788,106,POINT (521784 4806788),POINT (521784 4806788)
Berna,C0B6,A,526737,4781623,95,POINT (526737 4781623),POINT (526737 4781623)
Berriatua,C0BE,C,542610,4794956,25,POINT (542610 4794956),POINT (542610 4794956)
