"","id","fecha","usuario","municipio","direccion","especie","altura","diametro","longitude","latitude","estado","agente","x","y","año","mes"
"1",1,2019-07-06,"AYUNTAMIENTO ABADIÑO","ABADIÑO","OLALDE","AVISPA ASIÁTICA",0,1,-2.72508818521593,43.1410516265613,"CERRADA - ELIMINADO","BOMBEROS",38.9220516265613,3.89491181478407,"2019","07"
"2",2,2019-03-25,"BASALAN","ABADIÑO","MCDONALD'S ABADIÑO","AVISPA ASIÁTICA",8,10,-2.73413001297185,43.1572407240961,"CERRADA - ELIMINADO","BASALAN",38.9382407240961,3.88586998702815,"2019","03"
"3",3,2019-08-07,"AYUNTAMIENTO ABADIÑO","ABADIÑO","GEREDIAGA AUZOA 2  ","AVISPA COMÚN",2,2,-2.72551023133734,43.1547305224698,"CERRADA - ELIMINADO","BOMBEROS",38.9357305224698,3.89448976866266,"2019","08"
"4",4,2019-07-20,"AYUNTAMIENTO ABADIÑO","ABADIÑO","MUNTSARATZ Nº 19 A","AVISPA ASIÁTICA",4,20,-2.72252124904056,43.1385208696771,"CERRADA - ELIMINADO","BOMBEROS",38.9195208696771,3.89747875095944,"2019","07"
"5",5,2019-06-08,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ARRANKURRI KALEA 58  ","AVISPA ASIÁTICA",10,30,-2.73066135927915,43.1446317105063,"CERRADA - ELIMINADO","BOMBEROS",38.9256317105063,3.88933864072085,"2019","06"
"6",6,2019-08-22,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ASTOLA 66","AVISPA COMÚN",3,30,-2.73043736039222,43.1417376937754,"CERRADA - ELIMINADO","BOMBEROS",38.9227376937754,3.88956263960778,"2019","08"
"7",7,2019-08-27,"AYUNTAMIENTO ABADIÑO","ABADIÑO","SAGASTA","AVISPA ASIÁTICA",10,30,-2.72988998846325,43.1201706717181,"CERRADA - ELIMINADO","BOMBEROS",38.9011706717181,3.89011001153675,"2019","08"
"8",8,2019-09-20,"AYUNTAMIENTO ABADIÑO","ABADIÑO","OLALDE KALEA 6  ","AVISPA ASIÁTICA",2,10,-2.72546279916265,43.1407704320386,"CERRADA - ELIMINADO","BOMBEROS",38.9217704320386,3.89453720083735,"2019","09"
"9",9,2019-10-21,"AYUNTAMIENTO ABADIÑO","ABADIÑO","GAZTELUA","AVISPA ASIÁTICA",0,30,-2.71310751835237,43.1458898058575,"CERRADA - ELIMINADO","BOMBEROS",38.9268898058575,3.90689248164763,"2019","10"
"10",10,2019-04-11,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ABADIÑOBEASKOA KALEA 8  ","AVISPA ASIÁTICA",1,1,-2.72911063417322,43.1463282177172,"CERRADA - ELIMINADO","BOMBEROS",38.9273282177172,3.89088936582678,"2019","04"
"11",11,2018-09-27,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ARZUBIA 16 ABADIÑO","AVISPA ASIÁTICA",3,30,-2.73240565909821,43.1543916505471,"CERRADA - ELIMINADO","BOMBEROS",38.9353916505471,3.88759434090179,"2018","09"
"12",12,2018-09-24,"AYUNTAMIENTO ABADIÑO","ABADIÑO","SAGASTA AUZOA 6 ABADIÑO","AVISPA ASIÁTICA",5,15,-2.7300259466704,43.1198062427065,"CERRADA - ELIMINADO","BOMBEROS",38.9008062427065,3.8899740533296,"2018","09"
"13",13,2018-08-23,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ASTOLA 64 A","AVISPA ASIÁTICA",6,1,-2.72896649148895,43.1431237739821,"CERRADA - ELIMINADO","BOMBEROS",38.9241237739821,3.89103350851105,"2018","08"
"14",14,2018-08-21,"AYUNTAMIENTO ABADIÑO","ABADIÑO","MENDIOLA 10B ABADIÑO","AVISPA COMÚN",13,60,-2.74027037941052,43.1255975017666,"CERRADA - ELIMINADO","BOMBEROS",38.9065975017666,3.87972962058948,"2018","08"
"15",15,2018-08-17,"AYUNTAMIENTO ABADIÑO","ABADIÑO","SAGASTA 6 ABADIÑO","AVISPA ASIÁTICA",4,50,-2.73009044884862,43.1196278489563,"CERRADA - ELIMINADO","BOMBEROS",38.9006278489563,3.88990955115138,"2018","08"
"16",16,2018-08-16,"AYUNTAMIENTO ABADIÑO","ABADIÑO","OLALDE Nº4-3ºA ABADIÑO","AVISPA ASIÁTICA",15,100,-2.72539598483945,43.1406058317165,"CERRADA - ELIMINADO","BOMBEROS",38.9216058317165,3.89460401516055,"2018","08"
"17",17,2018-10-08,"AYUNTAMIENTO ABADIÑO","ABADIÑO","BARRIO ARTA SN","AVISPA ASIÁTICA",5,15,-2.73245571166771,43.1454851691214,"CERRADA - ELIMINADO","BOMBEROS",38.9264851691214,3.88754428833229,"2018","10"
"18",18,2018-08-08,"AYUNTAMIENTO ABADIÑO","ABADIÑO","KAMIÑOPEA 6-5º IZD ABADIÑO","ABEJA",8,10,-2.72423591706673,43.1390934920811,"CERRADA - ELIMINADO","BOMBEROS",38.9200934920811,3.89576408293327,"2018","08"
"19",19,2018-07-08,"AYUNTAMIENTO ABADIÑO","ABADIÑO","MUNTSARATZ 45 ABADIÑO","AVISPA ASIÁTICA",12,30,-2.71983196826705,43.1341200125987,"CERRADA - ELIMINADO","BOMBEROS",38.9151200125987,3.90016803173295,"2018","07"
"20",20,2018-02-08,"AYUNTAMIENTO ABADIÑO","ABADIÑO","ABADIÑO LEBARIO 6 ABADIÑO BIZKAIA","AVISPA ASIÁTICA",10,10,-2.72319871023211,43.1537933241877,"CERRADA - NO ELIMINABLE","BOMBEROS",38.9347933241877,3.89680128976789,"2018","02"
"21",21,2018-07-20,"BASALAN","ABADIÑO","MUNTSARATS 60","AVISPA ASIÁTICA",12,40,-2.72406045706624,43.1365910442177,"CERRADA - ELIMINADO","BOMBEROS",38.9175910442177,3.89593954293376,"2018","07"
"22",22,2018-07-20,"BASALAN","ABADIÑO","MUNTSARATZ 8","AVISPA ASIÁTICA",6,60,-2.72795469884539,43.147706083918,"CERRADA - ELIMINADO","BOMBEROS",38.928706083918,3.89204530115461,"2018","07"
