merge_cod,freez,hum,lev_max,lev_mid,lev_min,rain,rain_1mm,rain_cum,rain_max_10,rain_max_day,sun,temp_avg,temp_max_abs,temp_max_avg,temp_min_abs,wind_avg,wind_max,wind_max_avg,code_merge,codigo, estacion,year,month
C076_Abetxuko_2016_ENE,9,86.1,0.166,0.082,,20,11,75.7,1.4,19.1,,6.8,16.8,11.4,3.0,,,,C076_Abetxuko_2016_ENE,C076,Abetxuko,2016,ENE
C056_Alegria_2016_ENE,8,90.9,0.652,0.287,,22,12,83.6,1.1,25,,6.9,17.6,11.3,3.2,12.3,94.7,43.7,C056_Alegria_2016_ENE,C056,Alegria,2016,ENE
C035_Altube_2016_ENE,5,91.9,,,,22,15,115.9,1.5,21.6,4.5,7.8,18.3,12.0,4.0,7.2,79.2,35.8,C035_Altube_2016_ENE,C035,Altube,2016,ENE
C001_Arkaute_2016_ENE,9,85.6,,,,19,13,84.7,1.3,20.5,5.0,7.1,17.6,11.7,3.0,11.3,97.2,40.8,C001_Arkaute_2016_ENE,C001,Arkaute,2016,ENE
C025_Beluntza_2016_ENE,3,85.2,,,,,,,,,,6.6,16.6,10.1,3.7,20.5,108.0,57.1,C025_Beluntza_2016_ENE,C025,Beluntza,2016,ENE
C034_Espejo_2016_ENE,10,84.4,,,,21,15,94.4,1.4,19,,7.0,16.8,11.1,3.3,8.2,85.0,37.7,C034_Espejo_2016_ENE,C034,Espejo,2016,ENE
C0AA_Etura_2016_ENE,10,88.2,0.613,0.397,,20,12,64.6,1.1,15.1,,6.7,16.7,10.8,2.5,10.9,78.5,37.1,C0AA_Etura_2016_ENE,C0AA,Etura,2016,ENE
C067_Gardea_2016_ENE,2,77.5,0.626,0.270,,23,14,106.8,2.1,22.2,,9.7,19.7,14.8,5.2,9.3,78.5,41.6,C067_Gardea_2016_ENE,C067,Gardea,2016,ENE
C040_Gasteiz_2016_ENE,1,79.3,,,,,,,,,5.0,8.8,17.6,11.9,6.1,11.4,114.5,48.1,C040_Gasteiz_2016_ENE,C040,Gasteiz,2016,ENE
C044_Gorbea_2016_ENE,3,95.8,,,,23,20,132,1.5,23.1,,6.5,15.6,10.5,3.2,,,,C044_Gorbea_2016_ENE,C044,Gorbea,2016,ENE
C048_Herrera_2016_ENE,9,94.8,,,,16,11,71.7,0.7,22.2,,4.1,14.6,6.7,2.1,27.1,126.0,73.4,C048_Herrera_2016_ENE,C048,Herrera,2016,ENE
C068_Ilarduia_2016_ENE,6,83.8,,,,20,16,116.2,1.2,28.9,,6.8,16.3,10.8,3.0,14.7,82.1,46.4,C068_Ilarduia_2016_ENE,C068,Ilarduia,2016,ENE
C024_Iturrieta_2016_ENE,13,89.5,,,,19,16,142,1,40.6,4.1,4.3,14.7,7.8,0.9,16.0,90.0,48.8,C024_Iturrieta_2016_ENE,C024,Iturrieta,2016,ENE
C00A_Kanpezu_2016_ENE,10,85.6,,,,19,12,,1.7,25.5,,6.4,15.9,10.1,2.9,12.2,85.7,42.6,C00A_Kanpezu_2016_ENE,C00A,Kanpezu,2016,ENE
C047_Kapildui_2016_ENE,11,94.0,,,,21,14,103.2,1.8,24.8,,3.6,13.5,6.3,1.7,28.8,118.1,70.3,C047_Kapildui_2016_ENE,C047,Kapildui,2016,ENE
