,merge_cod,code_merge,codigo, estacion,year,month,hum,hum_imputed_proba,freez,freez_imputed_proba,rain,rain_imputed_proba,lev_max,lev_max_imputed_proba,lev_mid,lev_mid_imputed_proba,lev_min,lev_min_imputed_proba,rain_1mm,rain_1mm_imputed_proba,rain_cum,rain_cum_imputed_proba,rain_max_10,rain_max_10_imputed_proba,rain_max_day,rain_max_day_imputed_proba,temp_avg,temp_avg_imputed_proba,temp_max_abs,temp_max_abs_imputed_proba,temp_max_avg,temp_max_avg_imputed_proba,temp_min_abs,temp_min_abs_imputed_proba,wind_avg,wind_avg_imputed_proba,wind_max,wind_max_imputed_proba,wind_max_avg,wind_max_avg_imputed_proba,sun,sun_imputed_proba
202,C0A4_Albaina_2017_ENE,C0A4_Albaina_2017_ENE,C0A4,Albaina,2017,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
229,C00B_Tobillas_2017_ENE,C00B_Tobillas_2017_ENE,C00B,Tobillas,2017,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
248,C009_Galdakao_2017_ENE,C009_Galdakao_2017_ENE,C009,Galdakao,2017,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
288,C0F1_Eskas_2017_ENE,C0F1_Eskas_2017_ENE,C0F1,Eskas,2017,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
611,C0A4_Albaina_2017_FEB,C0A4_Albaina_2017_FEB,C0A4,Albaina,2017,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
638,C00B_Tobillas_2017_FEB,C00B_Tobillas_2017_FEB,C00B,Tobillas,2017,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
657,C009_Galdakao_2017_FEB,C009_Galdakao_2017_FEB,C009,Galdakao,2017,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
697,C0F1_Eskas_2017_FEB,C0F1_Eskas_2017_FEB,C0F1,Eskas,2017,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
1047,C00B_Tobillas_2017_MAR,C00B_Tobillas_2017_MAR,C00B,Tobillas,2017,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
1066,C009_Galdakao_2017_MAR,C009_Galdakao_2017_MAR,C009,Galdakao,2017,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
